Zielort;Anzahl;Anzahl Prozent;weiblich;weiblich Prozent;maennlich ;maennlich Prozent;Entfernung in km
Köln;9404;8,886536953;3860;8,671039626;5544;9,043013033;34,2
Essen;5714;5,399582321;2578;5,791176206;3136;5,115239695;26,4
Duisburg;4683;4,425313968;2099;4,715158595;2584;4,214853116;23,3
Krefeld;3638;3,437815976;1491;3,349357534;2147;3,502047075;20,2
Wuppertal;3221;3,043761753;1435;3,223560068;1786;2,913207301;25,1
Mönchengladbach;2773;2,620413332;1291;2,90008087;1482;2,417342228;28,9
Leverkusen;1911;1,80584561;789;1,772396442;1122;1,83013359;24,9
Mülheim an der Ruhr;1798;1,699063531;772;1,734207925;1026;1,67354462;19,6
Solingen;1630;1,540307873;690;1,550004493;940;1,533267001;20,4
Bonn;1159;1,095225046;486;1,091742295;673;1,097753927;62,6
Dortmund;1102;1,041361519;474;1,064785695;628;1,024352847;31
Oberhausen;1093;1,032856751;386;0,867103963;707;1,153212521;55,8
Ratingen;6886;6,507092031;2997;6,732410819;3889;6,343484431;9,9
Hilden;4146;3,917862846;1746;3,922185282;2400;3,914724257;11,5
Langenfeld (Rheinland);3520;3,326309025;1441;3,237038368;2079;3,391129887;17,2
Erkrath;2763;2,61096359;1265;2,841674903;1498;2,44344039;8,4
Monheim am Rhein;1880;1,776551411;872;1,958846258;1008;1,644184188;16,5
Neuss;8826;8,340341892;3776;8,482343427;5050;8,23723229;10,3
Meerbusch;1971;1,862544059;1002;2,250876089;969;1,580569919;11,1
Dormagen;797;0,753144402;261;0,586306047;536;0,874288417;14,6
Kaarst;754;0,712510513;353;0,792973313;401;0,654085178;14
Grevenbroich;746;0,70495072;306;0,687393297;440;0,717699447;21,7
Willich;777;0,734244918;304;0,68290053;473;0,771526906;20,6
Viersen;537;0,507451121;255;0,572827747;282;0,4599801;31,5
Kempen;214;0,202224469;97;0,217899182;117;0,190842808;30,5
Tönisvorst;151;0,142691097;83;0,186449816;68;0,110917187;26,6
Nettetal;117;0,110561976;55;0,123551083;62;0,101130377;40,1
alle sonstigen Orte;29819;28,17818433;11772;26,44442448;18047;29,43709527;x
