Herkunftsort;Anzahl;Anzahl Prozent;weiblich;weiblich Prozent;maennlich ;maennlich Prozent;Entfernung in km
Duisburg;20681;6,600241912;9430;6,721455199;11251;6,501964864;23,3
Köln;14608;4,662073103;6648;4,738518999;7960;4,600092464;34,2
Essen;13331;4,254524681;5420;3,863232999;7911;4,571775312;26,4
Krefeld;10764;3,435278949;5023;3,580261873;5741;3,317730005;20,2
Mönchengladbach;9909;3,162409802;4433;3,15972544;5476;3,164586223;28,8
Wuppertal;9230;2,94571021;4339;3,09272472;4891;2,826514101;25,1
Mülheim an der Ruhr;5899;1,882637544;2504;1,784785134;3395;1,96197411;20,4
Solingen;5795;1,849446443;2786;1,985787294;3009;1,7389043;19,6
Oberhausen;5062;1,61551301;2035;1,450494309;3027;1,749306519;31
Bochum;3640;1,161688533;1367;0,974361533;2273;1,313569117;38,9
Dortmund;3491;1,114135898;1318;0,939435626;2173;1,255779011;55,8
Leverkusen;3155;1,006903111;1409;1,004298025;1746;1,009015257;24,9
Ratingen;13156;4,198674271;6561;4,676507694;6595;3,811257513;9,9
Hilden;7847;2,504332396;4103;2,924510146;3744;2,163661581;11,5
Erkrath;7131;2,275824432;3644;2,597347057;3487;2,015141008;8,4
Langenfeld (Rheinland);5385;1,71859691;2618;1,866041327;2767;1,599052242;17,2
Monheim am Rhein;4697;1,499025011;2309;1,645794279;2388;1,380027739;16,5
Neuss;18910;6,03503576;9221;6,572485513;9689;5,599283403;10,3
Meerbusch;9553;3,04879411;5038;3,590953477;4515;2,609223301;11,1
Kaarst;5866;1,872105752;2973;2,11907596;2893;1,671867776;14
Grevenbroich;4400;1,404238887;2059;1,467600875;2341;1,352866389;21,6
Dormagen;3910;1,247857738;2042;1,455483724;1868;1,079519186;14,6
Willich;4450;1,420196147;2114;1,506803424;2336;1,349976884;20,6
Viersen;2453;0,782863179;1048;0,74698675;1405;0,811950994;31,5
Tönisvorst;1252;0,399569792;526;0,374918922;726;0,419556172;26,6
Kempen;1122;0,358080916;475;0,338567468;647;0,373901988;30,5
Nettetal;839;0,267762824;320;0,228087557;519;0,299930652;40,1
allen sonstigen Orten;96834;30,90410644;38955;27,76609621;57879;33,44833564;x
