Zielort;Anzahl;Anzahl Prozent;weiblich;weiblich Prozent;maennlich ;maennlich Prozent;Entfernung in km
Köln;8997;8,9;3841;8,9;5156;8,8;34,2
Essen;5413;5,3;2397;5,5;3016;5,2;26,4
Duisburg;4574;4,5;2051;4,7;2523;4,3;23,3
Krefeld;3399;3,3;1415;3,3;1984;3,4;20,2
Wuppertal;3072;3;1390;3,2;1682;2,9;25,1
Mönchengladbach;2616;2,6;1281;3;1335;2,3;28,9
Mülheim an der Ruhr;1907;1,9;771;1,8;1136;1,9;20,4
Leverkusen;1775;1,7;757;1,8;1018;1,7;24,9
Solingen;1680;1,7;705;1,6;975;1,7;19,6
Bonn;1292;1,3;569;1,3;723;1,2;62,6
Dortmund;993;1;363;0,8;630;1,1;55,8
Oberhausen;916;0,9;401;0,9;515;0,9;31
Ratingen;6633;6,5;3017;7;3616;6,2;9,9
Hilden;4096;4;1761;4,1;2335;4;11,5
Langenfeld (Rheinland);3397;3,3;1403;3,2;1994;3,4;17,2
Erkrath;2756;2,7;1264;2,9;1492;2,6;8,4
Monheim am Rhein;1730;1,7;824;1,9;906;1,6;16,5
Neuss;8424;8,3;3613;8,4;4811;8,2;10,3
Meerbusch;2006;2;1016;2,4;990;1,7;11,1
Dormagen;793;0,8;253;0,6;540;0,9;14,6
Kaarst;726;0,7;330;0,8;396;0,7;14
Grevenbroich;686;0,7;280;0,6;406;0,7;21,7
Willich;775;0,8;291;0,7;484;0,8;20,6
Viersen;458;0,5;243;0,6;215;0,4;31,5
Kempen;195;0,2;88;0,2;107;0,2;30,5
Tönisvorst;145;0,1;78;0,2;67;0,1;26,6
Nettetal;108;0,1;53;0,1;55;0,1;40,1
alle sonstigen Orte;28244;27,8;11157;25,8;17087;29,3;x
