,zielort,anzahl,anzahl_prozent,weiblich,weiblich_prozent,maennlich,maennlich_prozent,entfernung_in_km,year,category,breitengrad,laengengrad,herkunftsort,herkunftsort_laengengrad,herkunftsort_breitengrad
40,Ratingen,6331,"6,7",2836,"7,1",3495,"6,3","9,9",2015,outgoing commuters,"51,2969","6,8528",Düsseldorf,"6,7735","51,2277"
41,Hilden,3940,"4,1",1681,"4,2",2259,"4,1","11,5",2015,outgoing commuters,"51,1657","6,9362",Düsseldorf,"6,7735","51,2277"
42,Langenfeld (Rheinland),3443,"3,6",1449,"3,6",1994,"3,6","17,2",2015,outgoing commuters,"51,2249","6,9073",Düsseldorf,"6,7735","51,2277"
43,Erkrath,2593,"2,7",1160,"2,9",1433,"2,6","8,4",2015,outgoing commuters,"51,1139","6,9805",Düsseldorf,"6,7735","51,2277"
44,Monheim am Rhein,1650,"1,7",783,2,867,"1,6","16,5",2015,outgoing commuters,"51,0969","6,9474",Düsseldorf,"6,7735","51,2277"
45,Neuss,8156,"8,6",3443,"8,6",4713,"8,5","10,3",2015,outgoing commuters,"51,2042","6,6879",Düsseldorf,"6,7735","51,2277"
46,Meerbusch,1934,2,948,"2,4",986,"1,8","11,1",2015,outgoing commuters,"51,2622","6,6751",Düsseldorf,"6,7735","51,2277"
47,Dormagen,770,"0,8",260,"0,7",510,"0,9","14,6",2015,outgoing commuters,"51,2209","6,6194",Düsseldorf,"6,7735","51,2277"
48,Kaarst,700,"0,7",304,"0,8",396,"0,7",14,2015,outgoing commuters,"51,0973","6,6864",Düsseldorf,"6,7735","51,2277"
49,Grevenbroich,605,"0,6",242,"0,6",363,"0,7","21,7",2015,outgoing commuters,"51,0956","6,8397",Düsseldorf,"6,7735","51,2277"
50,Willich,750,"0,8",276,"0,7",474,"0,9","20,6",2015,outgoing commuters,"51,2643","6,5491",Düsseldorf,"6,7735","51,2277"
51,Viersen,448,"0,5",219,"0,5",229,"0,4","31,5",2015,outgoing commuters,"51,255","6,3934",Düsseldorf,"6,7735","51,2277"
52,Kempen,178,"0,2",90,"0,2",88,"0,2","30,5",2015,outgoing commuters,"51,2889","6,3986",Düsseldorf,"6,7735","51,2277"
53,Tönisvorst,125,"0,1",70,"0,2",55,"0,1","26,6",2015,outgoing commuters,"51,366","6,4153",Düsseldorf,"6,7735","51,2277"
54,Nettetal,99,"0,1",40,"0,1",59,"0,1","40,1",2015,outgoing commuters,"51,3167","6,2833",Düsseldorf,"6,7735","51,2277"
55,alle sonstigen Orte,25418,"26,7",9947,"24,9",15471,28,x,2015,outgoing commuters,"0,0","0,0",Düsseldorf,"6,7735","51,2277"
