,zielort,anzahl,anzahl_prozent,weiblich,weiblich_prozent,maennlich,maennlich_prozent,entfernung_in_km,year,category,breitengrad,laengengrad,herkunftsort,herkunftsort_laengengrad,herkunftsort_breitengrad
167,alle sonstigen Orte,30129,"27,92437092",11880,"26,40586797",18249,"29,01041253",x,2019,outgoing commuters,"0,0","0,0",Düsseldorf,"6,7735","51,2277"
168,Köln,9155,"8,638259327",,,,,"34,2",2020,outgoing commuters,"51,4344","6,7623",Düsseldorf,"6,7735","51,2277"
169,Essen,6074,"5,731161895",,,,,"26,4",2020,outgoing commuters,"50,9375","6,9603",Düsseldorf,"6,7735","51,2277"
170,Duisburg,4863,"4,588515031",,,,,"23,3",2020,outgoing commuters,"51,4556","7,0116",Düsseldorf,"6,7735","51,2277"
171,Krefeld,3623,"3,418505029",,,,,"20,2",2020,outgoing commuters,"51,3369","6,5535",Düsseldorf,"6,7735","51,2277"
172,Wuppertal,3151,"2,973146383",,,,,"25,1",2020,outgoing commuters,"51,1805","6,4425",Düsseldorf,"6,7735","51,2277"
173,Mönchengladbach,2797,"2,639127399",,,,,"28,8",2020,outgoing commuters,"51,2562","7,1507",Düsseldorf,"6,7735","51,2277"
174,Leverkusen,2601,"2,454190334",,,,,"179,5",2020,outgoing commuters,"51,1734","7,0845",Düsseldorf,"6,7735","51,2277"
175,Mülheim an der Ruhr,1975,"1,863523995",,,,,"24,9",2020,outgoing commuters,"51,4309","6,8785",Düsseldorf,"6,7735","51,2277"
176,Solingen,1727,"1,629521994",,,,,"20,4",2020,outgoing commuters,"51,496","6,8517",Düsseldorf,"6,7735","51,2277"
177,Bonn,1713,"1,616312204",,,,,"19,6",2020,outgoing commuters,"51,4812","7,2195",Düsseldorf,"6,7735","51,2277"
178,Dortmund,1195,"1,127549961",,,,,"62,6",2020,outgoing commuters,"51,5136","7,4653",Düsseldorf,"6,7735","51,2277"
179,Oberhausen,1033,"0,974693816",,,,,"55,8",2020,outgoing commuters,"51,0451","6,9944",Düsseldorf,"6,7735","51,2277"
180,Ratingen,7305,"6,892679889",,,,,"9,9",2020,outgoing commuters,"51,2969","6,8528",Düsseldorf,"6,7735","51,2277"
181,Hilden,4157,"3,922364175",,,,,"11,5",2020,outgoing commuters,"51,1657","6,9362",Düsseldorf,"6,7735","51,2277"
182,Langenfeld (Rheinland),3518,"3,319431602",,,,,"17,2",2020,outgoing commuters,"51,2249","6,9073",Düsseldorf,"6,7735","51,2277"
183,Erkrath,2695,"2,542884641",,,,,"8,4",2020,outgoing commuters,"51,1139","6,9805",Düsseldorf,"6,7735","51,2277"
184,Monheim am Rhein,1965,"1,85408843",,,,,"16,5",2020,outgoing commuters,"51,0969","6,9474",Düsseldorf,"6,7735","51,2277"
185,Neuss,8778,"8,282538544",,,,,"10,3",2020,outgoing commuters,"51,2042","6,6879",Düsseldorf,"6,7735","51,2277"
186,Meerbusch,1975,"1,863523995",,,,,"11,1",2020,outgoing commuters,"51,2622","6,6751",Düsseldorf,"6,7735","51,2277"
187,Dormagen,912,"0,860523485",,,,,"14,6",2020,outgoing commuters,"51,2209","6,6194",Düsseldorf,"6,7735","51,2277"
188,Kaarst,797,"0,752014493",,,,,14,2020,outgoing commuters,"51,0973","6,6864",Düsseldorf,"6,7735","51,2277"
189,Grevenbroich,738,"0,696344662",,,,,"21,6",2020,outgoing commuters,"51,0956","6,8397",Düsseldorf,"6,7735","51,2277"
190,Willich,809,"0,76333717",,,,,"20,6",2020,outgoing commuters,"51,2643","6,5491",Düsseldorf,"6,7735","51,2277"
191,Viersen,535,"0,504802702",,,,,"31,5",2020,outgoing commuters,"51,255","6,3934",Düsseldorf,"6,7735","51,2277"
192,Kempen,223,"0,210413089",,,,,"30,5",2020,outgoing commuters,"51,2889","6,3986",Düsseldorf,"6,7735","51,2277"
193,Tönisvorst,158,"0,14908192",,,,,"26,6",2020,outgoing commuters,"51,366","6,4153",Düsseldorf,"6,7735","51,2277"
194,Nettetal,103,"0,097186315",,,,,"40,1",2020,outgoing commuters,"51,3167","6,2833",Düsseldorf,"6,7735","51,2277"
195,alle sonstigen Orte,31407,"29,63427752",,,,,x,2020,outgoing commuters,"0,0","0,0",Düsseldorf,"6,7735","51,2277"
